Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
Yes,136,No,No,0,3,199.6,89,52,10.57,11
Yes,170,Yes,Yes,2.94,4,199.5,0,75.4,6.75,10.9
Yes,188,No,Yes,3.89,1,198.8,115,86.9,8.33,14.4
No,17,Yes,Yes,2.19,1,198.5,123,78.9,13.53,8.1
Yes,132,Yes,No,0,4,197.8,66,46,6.7,10.9
No,95,Yes,No,0,3,194.6,114,53,11.64,3.8
No,55,Yes,No,0,2,194.1,121,49,8.83,7
No,94,Yes,No,0,1,194.1,62,53,11.36,15.3
No,66,Yes,Yes,2.4,0,190.8,100,79,13.07,8.9
No,114,Yes,No,0,1,189.8,101,45,7.39,10.6
No,66,Yes,Yes,3.24,2,187.8,117,75.4,6.49,12
No,133,Yes,No,0,2,187,65,44,7.07,10
Yes,62,Yes,Yes,3,2,186.4,84,79,10.05,11.1
Yes,92,Yes,,,2,184.7,60,54,13.1,12.3
No,159,Yes,Yes,4.56,0,184.1,78,93.6,9.73,16.9
No,64,Yes,Yes,2.86,2,182.1,91,74.6,8.49,10.6
Yes,1,Yes,No,0,5,182.1,106,43,6.75,10
No,122,Yes,No,0,2,180,88,43,7.25,11.5
Yes,358,Yes,Yes,2.51,1,179.7,144,75.1,10.91,9.3
Yes,60,Yes,No,0,1,179.3,147,49,10.45,13.5
No,93,Yes,Yes,2.16,2,178.7,134,67.6,8.93,8
Yes,127,No,No,0,1,176.9,110,45,8.4,7.7
No,130,Yes,No,0,1,176.3,140,48,10.05,11.3
No,71,Yes,Yes,3.81,1,175.7,82,90.1,12.95,14.1
No,66,Yes,Yes,2.4,1,174.7,92,74,11.61,8.9
Yes,103,Yes,No,0,6,174.7,151,43,7.4,15.8
Yes,133,Yes,Yes,3.81,2,174,80,86.1,10.47,14.1
No,,Yes,,1.3,0,173,91,64,12.29,4.8
No,143,Yes,No,0.42,2,172.3,97,49.2,8.7,13
No,104,Yes,No,0.24,1,170.6,97,45.4,8.11,6.1
No,146,Yes,No,0,2,169.5,93,49,11.55,9
No,190,Yes,No,0,1,169.4,102,51,12.68,8.9
No,87,Yes,No,0,3,169.1,105,44,8.5,9.9
Yes,143,Yes,No,0,4,167.8,72,47,10.55,10.5
Yes,159,Yes,No,0,0,167.4,68,41,7.19,10.3
Yes,82,Yes,No,0.31,6,167.1,77,43.1,6.59,9.4
Yes,117,No,No,0,2,167.1,86,44,8.88,14.1
Yes,88,Yes,No,0,4,166.7,61,44,8.97,6.8
No,232,Yes,No,0.14,1,165.6,104,46.4,9.8,11.8
No,104,Yes,No,0,1,164.2,109,42,7.77,10.7
No,74,Yes,No,0,0,162.7,102,53,14.6,8.7
Yes,68,Yes,No,0,5,162.1,86,41,7.75,11
No,62,Yes,No,0.29,1,159.9,100,44.9,8.61,5.6
Yes,119,Yes,No,0,5,159.1,114,47,11.57,8.8
No,106,Yes,No,0,0,158.6,112,46,11,9.1
Yes,52,Yes,No,0,4,155,110,38,6.67,7
Yes,92,Yes,No,0,3,154,122,55,16.49,5.6
Yes,66,Yes,No,0,4,154,133,44,9.95,9.5
Yes,51,No,No,0,0,153.6,108,46,11.65,14.1
Yes,126,Yes,Yes,3.46,4,153.4,90,73.6,7.57,12.8
No,131,Yes,No,0.46,0,153.4,86,47.6,9.93,10.4
Yes,91,Yes,No,0,1,153,123,38,7.06,10.3
No,161,Yes,No,0,1,151.6,117,45,10.97,4
No,185,Yes,Yes,3.73,2,151.1,121,84.3,12.24,13.8
No,140,Yes,No,0,1,149.8,134,40,8.22,8.1
No,37,No,Yes,2.48,1,149.7,122,68.8,10.56,9.2
No,58,Yes,No,0,1,149.4,145,43,9.83,14.9
No,113,Yes,Yes,2.57,4,149,104,71.7,11.79,9.5
Yes,64,Yes,No,0,5,148.1,73,40,8.25,12.3
No,79,Yes,No,0,1,147,72,40,8.29,8.4
No,127,Yes,No,0,1,146.7,91,43,10.18,13.7
No,42,Yes,No,0,1,146.3,84,47,12.8,8
No,99,Yes,No,0.33,1,145.6,106,37.3,4.92,10.9
No,64,Yes,No,0.31,1,145.5,116,48.1,11.42,8.9
No,77,Yes,No,0,2,144.9,136,38,7.57,12.3
No,82,Yes,No,0,1,143.7,116,39,8.54,7.8
No,97,No,No,0.28,0,143.7,117,50.8,13.65,10.9
No,128,Yes,Yes,4.32,1,142.3,73,84.2,9.74,16
No,95,Yes,No,0,3,141.1,84,42,10.57,5.9
Yes,122,No,No,0.3,4,140,101,44,9.82,9.7
No,93,Yes,Yes,1.84,2,138.1,91,56.4,8.37,6.8
Yes,35,Yes,No,0,5,138.1,115,37,7.91,10.3
No,56,Yes,No,0,1,137.2,111,38,8.3,14.3
No,73,Yes,No,0.34,1,137.1,102,45.4,10.54,11.1
Yes,139,Yes,No,0,5,134.4,106,41,10.57,10.2
Yes,93,Yes,Yes,3.19,4,134.2,105,68.9,8.13,11.8
Yes,106,No,No,0,1,133.7,45,39,9.39,10.7
Yes,2,No,No,0.27,2,132.1,42,37.7,6.95,9.1
Yes,167,Yes,No,0,4,131.6,120,41,10.57,11.1
Yes,131,Yes,No,0,1,131.6,95,38,8.97,15.5
Yes,93,No,No,0,1,131.4,78,42,10.99,11.1
No,81,Yes,Yes,3.08,0,130.1,117,69.8,9.8,11.4
No,67,Yes,Yes,3.92,1,129.6,107,81.2,11.65,14.5
No,56,Yes,Yes,3.27,1,127.1,89,69.7,8.61,12.1
No,86,Yes,No,0,2,126.3,115,36,8.44,9.8
Yes,178,No,No,0,2,124.5,134,34,7.06,11.4
Yes,113,No,No,0,5,122.2,112,32,6.59,10.3
No,101,Yes,Yes,2.73,0,121.1,116,64.3,9.32,10.1
Yes,97,Yes,No,0,4,120.8,96,35,8.49,11.9
Yes,140,Yes,No,0,4,120.3,108,41,12.02,7.7
No,55,Yes,No,0,2,119.7,148,41,11.59,4.6
No,3,Yes,Yes,3.21,2,118.1,117,71.1,11.08,11.9
No,75,Yes,No,0.34,1,117.3,114,41.4,10.06,12.2
No,123,Yes,No,0.24,0,114.4,91,40.4,10.83,11
Yes,108,Yes,No,0,4,112,105,36,9.69,4.1
Yes,112,Yes,No,0,5,111.9,92,29,5.7,14.1
Yes,109,Yes,Yes,2.43,6,111.2,90,66.3,13.18,9
No,66,Yes,Yes,3.27,1,106.7,76,68.7,10.49,12.1
Yes,61,Yes,Yes,2.75,2,105,78,61.5,9.03,10.2
No,102,Yes,No,0,2,102.6,89,39,12.3,9.1
No,169,Yes,No,0,0,100.8,112,37,11.5,9.5
No,67,Yes,Yes,2.7,2,95,94,68,14.56,10
No,92,Yes,No,0,2,91.7,90,33,9.69,9.2
Yes,85,Yes,Yes,2.51,4,89.8,88,61.1,11.66,9.3
Yes,73,Yes,Yes,3.19,6,82.3,105,67.9,12.81,11.8
No,127,Yes,Yes,1.38,0,82.2,95,41.8,8.17,5.1
No,95,Yes,No,0,0,69.4,79,29,9.54,8.9
Yes,47,No,No,0,0,47.8,120,24,8.95,13.3
Yes,138,No,No,0,4,46.5,104,24,9.3,9.6
No,145,Yes,No,0.32,0,39.5,78,33.2,13.22,10
No,90,Yes,No,0,3,37.8,80,20,7.77,14.2
